region,type_territoire,annee,population_totale,age_median,age_moyen,PIB_region,PIB_par_habitant,revenu_disponible_habitant,taux_activite,taux_chomage,taux_emploi
Saguenay,Région métropolitaine,2016,,,,,,,58.8,8.2,54
Saguenay,Région métropolitaine,2017,,,,,,,59.8,6.7,55.8
Saguenay,Région métropolitaine,2018,,,,,,,58.1,6.1,54.5
Saguenay,Région métropolitaine,2019,,,,,,,59.3,5.3,56.2
Québec,Région métropolitaine,2006,,,,,,,66.4,5.3,62.9
Québec,Région métropolitaine,2007,,,,,,,67.4,5.1,63.9
Québec,Région métropolitaine,2008,,,,,,,67.3,4.4,64.3
Québec,Région métropolitaine,2009,,,,,,,66.7,5,63.4
Québec,Région métropolitaine,2010,,,,,,,68.5,5.1,65
Québec,Région métropolitaine,2011,,,,,,,69.2,5.3,65.5
Québec,Région métropolitaine,2012,,,,,,,68.9,5,65.4
Québec,Région métropolitaine,2013,,,,,,,68,4.7,64.8
Québec,Région métropolitaine,2014,,,,,,,68.8,5.3,65.2
Québec,Région métropolitaine,2015,,,,,,,69.3,4.7,66
Québec,Région métropolitaine,2016,,,,,,,68,4.6,64.9
Québec,Région métropolitaine,2017,,,,,,,67.9,4.2,65.1
Québec,Région métropolitaine,2018,,,,,,,68.8,3.8,66.2
Québec,Région métropolitaine,2019,,,,,,,68.9,3.1,66.8
Sherbrooke,Région métropolitaine,2006,,,,,,,64.2,8.6,58.7
Sherbrooke,Région métropolitaine,2007,,,,,,,63.9,6.6,59.7
Sherbrooke,Région métropolitaine,2008,,,,,,,63.2,6.2,59.3
Sherbrooke,Région métropolitaine,2009,,,,,,,64.2,6.6,60
Sherbrooke,Région métropolitaine,2010,,,,,,,61.2,7.4,56.7
Sherbrooke,Région métropolitaine,2011,,,,,,,65.1,6.7,60.7
Sherbrooke,Région métropolitaine,2012,,,,,,,62.8,8,57.8
Sherbrooke,Région métropolitaine,2013,,,,,,,59.5,7.1,55.4
Sherbrooke,Région métropolitaine,2014,,,,,,,61.9,7.2,57.4
Sherbrooke,Région métropolitaine,2015,,,,,,,63,6.8,58.7
Sherbrooke,Région métropolitaine,2016,,,,,,,62.6,6.2,58.8
Sherbrooke,Région métropolitaine,2017,,,,,,,61.6,5.6,58.2
Sherbrooke,Région métropolitaine,2018,,,,,,,62.8,5,59.7
Sherbrooke,Région métropolitaine,2019,,,,,,,62.5,4.4,59.8
Trois-Rivières,Région métropolitaine,2006,,,,,,,61.3,8.1,56.3
Trois-Rivières,Région métropolitaine,2007,,,,,,,63.6,7.9,58.6
Trois-Rivières,Région métropolitaine,2008,,,,,,,62.7,8.3,57.5
Trois-Rivières,Région métropolitaine,2009,,,,,,,60.3,9,54.8
Trois-Rivières,Région métropolitaine,2010,,,,,,,58.7,9.1,53.5
Trois-Rivières,Région métropolitaine,2011,,,,,,,60.9,9,55.4
Trois-Rivières,Région métropolitaine,2012,,,,,,,58.3,7.8,53.7
Trois-Rivières,Région métropolitaine,2013,,,,,,,56.2,8.3,51.5
Trois-Rivières,Région métropolitaine,2014,,,,,,,57.8,7.3,53.6
Trois-Rivières,Région métropolitaine,2015,,,,,,,59.1,6.6,55.1
Trois-Rivières,Région métropolitaine,2016,,,,,,,60.2,7,56
Trois-Rivières,Région métropolitaine,2017,,,,,,,60,5.6,56.7
Trois-Rivières,Région métropolitaine,2018,,,,,,,59.4,5,56.4
Trois-Rivières,Région métropolitaine,2019,,,,,,,59.7,5.5,56.3
Montréal,Région métropolitaine,2006,,,,,,,67.3,8.4,61.7
Montréal,Région métropolitaine,2007,,,,,,,67.4,7,62.6
Montréal,Région métropolitaine,2008,,,,,,,66.8,7.4,61.8
Montréal,Région métropolitaine,2009,,,,,,,66.7,9.3,60.5
Montréal,Région métropolitaine,2010,,,,,,,67.3,8.7,61.5
Montréal,Région métropolitaine,2011,,,,,,,66.1,8.4,60.6
Montréal,Région métropolitaine,2012,,,,,,,66.1,8.4,60.5
Montréal,Région métropolitaine,2013,,,,,,,66.9,7.9,61.6
Montréal,Région métropolitaine,2014,,,,,,,66.1,8.2,60.7
Montréal,Région métropolitaine,2015,,,,,,,66.4,8.4,60.8
Montréal,Région métropolitaine,2016,,,,,,,66.2,7.7,61.1
Montréal,Région métropolitaine,2017,,,,,,,67.1,6.6,62.7
Montréal,Région métropolitaine,2018,,,,,,,67.3,6.1,63.2
Montréal,Région métropolitaine,2019,,,,,,,66.5,5.7,62.8
Ottawa-Gatineau,Région métropolitaine,2006,,,,,,,71.6,5.3,67.8
Ottawa-Gatineau,Région métropolitaine,2007,,,,,,,71.8,5.2,68.1
Ottawa-Gatineau,Région métropolitaine,2008,,,,,,,72.9,5,69.3
Ottawa-Gatineau,Région métropolitaine,2009,,,,,,,71.1,5.8,66.9
Ottawa-Gatineau,Région métropolitaine,2010,,,,,,,72,6.6,67.3
Ottawa-Gatineau,Région métropolitaine,2011,,,,,,,70.8,6.2,66.4
Ottawa-Gatineau,Région métropolitaine,2012,,,,,,,71.6,6.2,67.2
Ottawa-Gatineau,Région métropolitaine,2013,,,,,,,69.3,6.4,64.9
Ottawa-Gatineau,Région métropolitaine,2014,,,,,,,69.9,6.7,65.1
Ottawa-Gatineau,Région métropolitaine,2015,,,,,,,69.2,6.5,64.7
Ottawa-Gatineau,Région métropolitaine,2016,,,,,,,69.2,6.5,64.7
Ottawa-Gatineau,Région métropolitaine,2017,,,,,,,68.3,5.5,64.5
Ottawa-Gatineau,Région métropolitaine,2018,,,,,,,67.6,4.6,64.5
Ottawa-Gatineau,Région métropolitaine,2019,,,,,,,69.3,4.7,66
Gatineau,Région métropolitaine,2006,,,,,,,71.4,5.7,67.4
Gatineau,Région métropolitaine,2007,,,,,,,71.1,5.5,67.2
Gatineau,Région métropolitaine,2008,,,,,,,73.2,4.9,69.6
Gatineau,Région métropolitaine,2009,,,,,,,71.5,6,67.2
Gatineau,Région métropolitaine,2010,,,,,,,71.2,6.7,66.5
Gatineau,Région métropolitaine,2011,,,,,,,70.9,7.5,65.6
Gatineau,Région métropolitaine,2012,,,,,,,69.6,6.3,65.2
Gatineau,Région métropolitaine,2013,,,,,,,68.1,6.3,63.8
Gatineau,Région métropolitaine,2014,,,,,,,68.9,7,64
Gatineau,Région métropolitaine,2015,,,,,,,70.9,7.1,65.9
Gatineau,Région métropolitaine,2016,,,,,,,68.7,7,64
Gatineau,Région métropolitaine,2017,,,,,,,68.9,5.4,65.2
Gatineau,Région métropolitaine,2018,,,,,,,68.8,4.5,65.7
Gatineau,Région métropolitaine,2019,,,,,,,68.6,4.8,65.3
Ensemble du Québec,Province,2016,8 326 089,,41.9,366637002,44035,,64.6,7.1,60
Ensemble du Québec,Province,2017,,,,,,,64.9,6.1,60.9
Ensemble du Québec,Province,2018,,,,,,,64.6,5.5,61
Ensemble du Québec,Province,2019,,,,,,,64.8,5.1,61.5
Saguenay,Région métropolitaine,2004,,,,,,,,11,
Saguenay,Région métropolitaine,2005,,,,,,,,9.9,
Québec,Région métropolitaine,2004,,,,,,,,5.8,
Québec,Région métropolitaine,2005,,,,,,,,5.5,
Sherbrooke,Région métropolitaine,2004,,,,,,,,7.7,
Sherbrooke,Région métropolitaine,2005,,,,,,,,7.5,
Trois-Rivières,Région métropolitaine,2004,,,,,,,,10.8,
Trois-Rivières,Région métropolitaine,2005,,,,,,,,9.1,
Montréal,Région métropolitaine,2004,,,,,,,,8.6,
Montréal,Région métropolitaine,2005,,,,,,,,8.6,
Ottawa-Gatineau,Région métropolitaine,2004,,,,,,,,6.7,
Ottawa-Gatineau,Région métropolitaine,2005,,,,,,,,6.6,
Gatineau,Région métropolitaine,2004,,,,,,,,6.8,
Gatineau,Région métropolitaine,2005,,,,,,,,6.5,
